Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
361,AFCONS,AFCONS INFRASTRUCTURE LIMITED,"18,70,717.78"
362,AADHARHFC,AADHAR HOUSING FINANCE LIMITED,"18,59,123.17"
363,WELCORP,WELSPUN CORP LIMITED,"18,57,498.51"
364,TBOTEK,TBO TEK LIMITED,"18,44,644.93"
365,BATAINDIA,BATA INDIA LIMITED,"18,40,652.05"
366,RRKABEL,R R KABEL LIMITED,"18,26,232.81"
367,TRIDENT,TRIDENT LIMITED,"18,23,191.37"
368,SAGILITY,SAGILITY INDIA LIMITED,"18,19,149.93"
369,JYOTHYLAB,JYOTHY LABS LIMITED,"18,15,781.15"
370,FINPIPE,FINOLEX INDUSTRIES LIMITED,"18,13,875.61"
371,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"18,01,987.37"
372,IDFC,IDFC LIMITED             ,"17,93,079.70"
373,TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,"17,89,850.59"
374,SONATSOFTW,SONATA SOFTWARE LIMITED,"17,80,018.77"
375,CREDITACC,CREDITACCESS GRAMEEN LIMITED,"17,67,257.31"
376,KFINTECH,KFIN TECHNOLOGIES LIMITED,"17,64,318.89"
377,GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"17,61,024.42"
378,ERIS,ERIS LIFESCIENCES LIMITED,"17,59,932.34"
379,AMBER,AMBER ENTERPRISES INDIA LIMITED,"17,58,078.93"
380,KARURVYSYA,KARUR VYSYA BANK LIMITED,"17,57,391.12"
381,CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED,"17,48,280.11"
382,KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED,"17,44,061.08"
383,JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED,"17,40,817.90"
384,IFCI,IFCI LIMITED,"17,39,413.30"
385,ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED,"17,32,818.39"
386,LMW,LMW LIMITED,"17,29,720.04"
387,BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED,"17,24,292.34"
388,BEML,BEML LIMITED,"17,09,983.68"
389,BSOFT,BIRLASOFT LIMITED,"17,09,538.03"
390,RKFORGE,RAMKRISHNA FORGINGS LIMITED,"17,08,742.48"
391,DCMSHRIRAM,DCM SHRIRAM LIMITED,"17,02,339.77"
392,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED,"17,00,785.24"
393,WOCKPHARMA,WOCKHARDT LIMITED,"16,95,595.43"
394,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,"16,94,601.13"
395,CGCL,CAPRI GLOBAL CAPITAL LIMITED,"16,90,267.28"
396,ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED,"16,89,234.17"
397,IEX,INDIAN ENERGY EXCHANGE LIMITED,"16,86,095.39"
398,HBLENGINE,HBL ENGINEERING LIMITED,"16,84,479.58"
399,NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,"16,80,541.62"
400,VENTIVE,VENTIVE HOSPITALITY LIMITED,"16,63,049.79"
401,APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,"16,46,679.64"
402,SOBHA,SOBHA LIMITED,"16,44,438.12"
403,ANANDRATHI,ANAND RATHI WEALTH LIMITED,"16,43,503.74"
404,BLS,BLS INTERNATIONAL SERVICES LIMITED,"16,43,275.91"
405,JUBLPHARMA,JUBILANT PHARMOVA LIMITED,"16,34,220.68"
406,WELSPUNLIV,WELSPUN LIVING LIMITED,"16,33,510.34"
407,TTML,TATA TELESERVICES (MAHARASHTRA) LIMITED,"16,33,442.97"
408,NEULANDLAB,NEULAND LABORATORIES LIMITED,"16,24,649.40"
409,INDIAMART,INDIAMART INTERMESH LIMITED,"16,20,864.13"
410,PCBL,PCBL LIMITED,"16,18,254.10"
411,ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED,"16,08,520.03"
412,AKZOINDIA,AKZO NOBEL INDIA LIMITED,"16,07,718.23"
413,MANAPPURAM,MANAPPURAM FINANCE LIMITED,"16,00,627.54"
414,MGL,MAHANAGAR GAS LIMITED,"15,96,204.23"
415,KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED,"15,92,974.53"
416,DOMS,DOMS INDUSTRIES LIMITED,"15,91,132.16"
417,PGEL,PG ELECTROPLAST LIMITED,"15,83,662.61"
418,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,"15,81,921.11"
419,FINEORG,FINE ORGANIC INDUSTRIES LIMITED,"15,77,757.62"
420,GRINFRA,G R INFRAPROJECTS LIMITED,"15,70,572.42"
421,ZENTEC,ZEN TECHNOLOGIES LIMITED,"15,51,169.98"
422,ACMESOLAR,ACME SOLAR HOLDINGS LIMITED,"15,48,561.40"
423,RITES,RITES LIMITED,"15,43,944.40"
424,REDINGTON,REDINGTON LIMITED,"15,39,299.00"
425,SAILIFE,SAI LIFE SCIENCES LIMITED,"15,35,424.92"
426,KSB,KSB LIMITED,"15,33,951.69"
427,UTIAMC,UTI ASSET MANAGEMENT COMPANY LIMITED,"15,30,937.96"
428,SANOFI,SANOFI INDIA LIMITED,"15,23,027.70"
429,SPLPETRO,SUPREME PETROCHEM LIMITED,"15,11,603.94"
430,DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,"15,00,031.83"
431,NSLNISP,NMDC STEEL LIMITED,"14,99,537.54"
432,INDGN,INDEGENE LIMITED,"14,94,499.26"
433,GODREJAGRO,GODREJ AGROVET LIMITED,"14,92,227.54"
434,PVRINOX,PVR INOX LIMITED,"14,89,702.44"
435,RPOWER,RELIANCE POWER LIMITED,"14,89,425.87"
436,NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,"14,84,547.26"
437,NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,"14,76,824.42"
438,EIDPARRY,EID PARRY INDIA LIMITED,"14,62,506.95"
439,CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED,"14,51,309.49"
440,GRAVITA,GRAVITA INDIA LIMITED,"14,47,400.95"
441,RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED,"14,46,617.16"
442,VTL,VARDHMAN TEXTILES LIMITED,"14,31,155.88"
443,ECLERX,ECLERX SERVICES LIMITED,"14,28,128.72"
444,GRANULES,GRANULES INDIA LIMITED,"14,24,678.98"
445,SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED,"14,12,648.92"
446,RAINBOW,RAINBOW CHILDRENS MEDICARE LIMITED,"14,11,758.84"
447,NAVA,NAVA LIMITED,"14,03,685.74"
448,ELECON,ELECON ENGINEERING COMPANY LIMITED,"13,97,757.76"
449,GPIL,GODAWARI POWER AND ISPAT LIMITED,"13,93,766.16"
450,SARDAEN,SARDA ENERGY & MINERALS LIMITED,"13,88,204.86"
451,PRAJIND,PRAJ INDUSTRIES LIMITED,"13,76,653.53"
452,AAVAS,AAVAS FINANCIERS LIMITED,"13,64,401.91"
453,DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,"13,62,608.58"
454,INGERRAND,INGERSOLL RAND (INDIA) LIMITED,"13,51,503.89"
455,RAYMONDLSL,RAYMOND LIFESTYLE LIMITED,"13,48,649.61"
456,OLECTRA,OLECTRA GREENTECH LIMITED,"13,34,886.19"
457,ZYDUSWELL,ZYDUS WELLNESS LIMITED,"13,24,102.84"
458,HONASA,HONASA CONSUMER LIMITED,"13,20,632.32"
459,MMTC,MMTC LIMITED,"13,14,828.57"
460,CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED,"12,99,294.19"
461,IWEL,INOX WIND ENERGY LIMITED,"12,90,945.38"
462,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED,"12,82,928.44"
463,WESTLIFE,WESTLIFE FOODWORLD LIMITED,"12,78,563.97"
464,LTFOODS,LT FOODS LIMITED,"12,77,875.67"
465,GLS,GLENMARK LIFE SCIENCES LIMITED,"12,70,864.60"
466,JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,"12,64,865.70"
467,MINDACORP,MINDA CORPORATION LIMITED,"12,55,252.39"
468,CUB,CITY UNION BANK LIMITED,"12,52,552.79"
469,INTELLECT,INTELLECT DESIGN ARENA LIMITED,"12,51,370.19"
470,NUVOCO,NUVOCO VISTAS CORPORATION LIMITED,"12,50,271.90"
471,RAYMOND,RAYMOND LIMITED,"12,49,702.56"
472,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED,"12,42,367.81"
473,AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,"12,40,609.80"
474,VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,"12,38,484.54"
475,TARIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,"12,37,065.01"
476,TTKPRESTIG,TTK PRESTIGE LIMITED,"12,35,628.20"
477,GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED,"12,20,282.62"
478,ALOKINDS,ALOK INDUSTRIES LIMITED,"12,19,975.35"
479,RBLBANK,RBL BANK LIMITED,"12,15,200.20"
480,ENGINERSIN,ENGINEERS INDIA LIMITED,"12,05,479.61"
481,RHIM,RHI MAGNESITA INDIA LIMITED,"12,03,064.98"
482,MARKSANS,MARKSANS PHARMA LIMITED,"11,99,123.51"
483,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED,"11,90,560.59"
484,TEGA,TEGA INDUSTRIES LIMITED,"11,89,426.49"
485,AETHER,AETHER INDUSTRIES LIMITED,"11,84,442.65"
486,JMFINANCIL,JM FINANCIAL LIMITED,"11,77,401.05"
487,SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED,"11,66,106.46"
488,CEATLTD,CEAT LIMITED,"11,64,555.41"
489,SCI,SHIPPING CORPORATION OF INDIA LIMITED,"11,62,639.17"
490,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"11,58,206.45"
491,J&KBANK,THE JAMMU & KASHMIR BANK LIMITED,"11,52,222.26"
492,MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED,"11,50,155.08"
493,USHAMART,USHA MARTIN LIMITED,"11,45,945.18"
494,TANLA,TANLA PLATFORMS LIMITED,"11,38,250.16"
495,STAR,STRIDES PHARMA SCIENCE LIMITED,"11,34,958.54"
496,ELECTCAST,ELECTROSTEEL CASTINGS LIMITED,"11,30,368.58"
497,SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,"11,28,431.83"
498,CANFINHOME,CAN FIN HOMES LIMITED,"11,25,623.65"
499,BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED,"11,21,324.76"
500,JUBLINGREA,JUBILANT INGREVIA LIMITED,"11,17,305.35"
501,EUREKAFORB,EUREKA FORBES LIMITED,"11,14,488.88"
502,JSWHL,JSW HOLDINGS LIMITED,"11,14,416.64"
503,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,"11,07,617.05"
504,INDIACEM,THE INDIA CEMENTS LIMITED,"11,00,069.86"
505,KPIGREEN,KPI GREEN ENERGY LIMITED,"10,90,793.57"
506,REDTAPE,REDTAPE LIMITED,"10,88,576.30"
507,HAPPYFORGE,HAPPY FORGINGS LIMITED,"10,88,291.80"
508,METROPOLIS,METROPOLIS HEALTHCARE LIMITED,"10,86,420.72"
509,JKTYRE,JK TYRE & INDUSTRIES LIMITED,"10,85,527.05"
510,INOXINDIA,INOX INDIA LIMITED,"10,82,283.81"
511,CERA,CERA SANITARYWARE LIMITED,"10,74,488.25"
512,ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,"10,72,482.00"
513,VESUVIUS,VESUVIUS INDIA LIMITED,"10,68,369.43"
514,QUESS,QUESS CORP LIMITED,"10,59,489.35"
515,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,"10,59,476.34"
516,BAJAJELEC,BAJAJ ELECTRICALS LIMITED,"10,57,384.23"
517,GRAPHITE,GRAPHITE INDIA LIMITED,"10,54,970.80"
518,PNCINFRA,PNC INFRATECH LIMITED,"10,50,671.42"
519,LEMONTREE,LEMON TREE HOTELS LIMITED,"10,49,369.46"
520,SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,"10,46,724.23"
521,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED,"10,45,392.71"
522,ISGEC,ISGEC HEAVY ENGINEERING LIMITED,"10,28,721.59"
523,GALAXYSURF,GALAXY SURFACTANTS LIMITED,"10,26,721.24"
524,RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,"10,24,604.77"
525,RTNINDIA,RATTANINDIA ENTERPRISES LIMITED,"10,20,331.08"
526,SYMPHONY,SYMPHONY LIMITED,"10,18,973.79"
527,PURVA,PURAVANKARA LIMITED,"10,15,435.43"
528,GPPL,GUJARAT PIPAVAV PORT LIMITED,"10,12,894.09"
529,BIRLACORPN,BIRLA CORPORATION LIMITED,"10,07,904.65"
530,SAREGAMA,SAREGAMA INDIA LIMITED,"10,05,652.98"
531,DBREALTY,VALOR ESTATE LIMITED,"10,04,994.81"
532,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED,"10,03,751.56"
533,ARVIND,ARVIND LIMITED,"10,03,305.28"
534,THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED,"10,02,252.18"
535,SFL,SHEELA FOAM LIMITED,"10,02,164.90"
536,RELINFRA,RELIANCE INFRASTRUCTURE LIMITED,"10,00,867.88"
537,LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,"9,98,084.34"
538,EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED,"9,95,981.46"
539,HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED,"9,83,643.41"
540,PNGJL,P N GADGIL JEWELLERS LIMITED,"9,82,219.22"
541,FORCEMOT,FORCE MOTORS LIMITED,"9,81,744.90"
542,JUSTDIAL,JUST DIAL LIMITED,"9,81,396.24"
543,ROUTE,ROUTE MOBILE LIMITED,"9,81,294.14"
544,HGINFRA,H.G. INFRA ENGINEERING LIMITED,"9,80,673.93"
545,IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,"9,77,730.74"
546,RENUKA,SHREE RENUKA SUGARS LIMITED,"9,71,378.54"
547,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED,"9,70,950.92"
548,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,"9,60,286.51"
549,JKLAKSHMI,JK LAKSHMI CEMENT LIMITED,"9,55,106.91"
550,AZAD,AZAD ENGINEERING LIMITED,"9,52,730.17"
551,ESABINDIA,ESAB INDIA LIMITED,"9,50,453.20"
552,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,"9,49,825.16"
553,TIPSMUSIC,TIPS MUSIC LIMITED,"9,47,863.17"
554,WABAG,VA TECH WABAG LIMITED,"9,42,799.02"
555,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED,"9,41,753.78"
556,KNRCON,KNR CONSTRUCTIONS LIMITED,"9,41,159.40"
557,IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,"9,40,501.60"
558,ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,"9,39,107.81"
559,POWERMECH,POWER MECH PROJECTS LIMITED,"9,30,757.48"
560,CHOICEIN,CHOICE INTERNATIONAL LIMITED,"9,30,141.77"
561,KIRLPNU,KIRLOSKAR PNEUMATIC COMPANY LIMITED,"9,28,525.03"
562,AURIONPRO,AURIONPRO SOLUTIONS LIMITED,"9,27,459.35"
563,CCL,CCL PRODUCTS (INDIA) LIMITED,"9,26,665.76"
564,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,"9,23,892.24"
565,SBFC,SBFC FINANCE LIMITED,"9,22,293.19"
566,PRSMJOHNSN,PRISM JOHNSON LIMITED,"9,15,903.24"
567,JLHL,JUPITER LIFE LINE HOSPITALS LIMITED,"9,15,562.89"
568,TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED,"9,14,844.48"
569,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,"9,14,318.08"
570,ITDCEM,ITD CEMENTATION INDIA LIMITED,"9,13,205.75"
571,SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED,"9,12,257.35"
572,TIMETECHNO,TIME TECHNOPLAST LIMITED,"9,07,170.53"
573,SENCO,SENCO GOLD LIMITED,"8,99,686.79"
574,MASTEK,MASTEK LIMITED,"8,91,262.76"
575,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"8,89,653.11"
576,BBOX,BLACK BOX LIMITED,"8,85,218.17"
577,RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,"8,83,164.19"
578,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"8,82,742.53"
579,CMSINFO,CMS INFO SYSTEMS LIMITED,"8,80,654.43"
580,RUSTOMJEE,KEYSTONE REALTORS LIMITED,"8,79,887.89"
581,MAXESTATES,MAX ESTATES LIMITED,"8,79,246.92"
582,VARROC,VARROC ENGINEERING LIMITED,"8,78,245.94"
583,PGHL,PROCTER & GAMBLE HEALTH LIMITED,"8,74,892.63"
584,MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED,"8,71,603.45"
585,HEG,HEG LIMITED,"8,71,427.25"
586,RELIGARE,RELIGARE ENTERPRISES LIMITED,"8,70,716.56"
587,AVANTIFEED,AVANTI FEEDS LIMITED,"8,65,624.18"
588,ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,"8,64,852.79"
589,EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED,"8,64,550.07"
590,SYRMA,SYRMA SGS TECHNOLOGY LIMITED,"8,59,727.49"
591,STARCEMENT,STAR CEMENT LIMITED,"8,58,528.57"
592,BLUEJET,BLUE JET HEALTHCARE LIMITED,"8,58,442.53"
593,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,"8,50,712.56"
594,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,"8,50,654.09"
595,SANSERA,SANSERA ENGINEERING LIMITED,"8,47,885.56"
596,FDC,FDC LIMITED,"8,47,427.78"
597,JUNIPER,JUNIPER HOTELS LIMITED,"8,45,132.04"
598,MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED,"8,45,060.54"
599,GALLANTT,GALLANTT ISPAT LIMITED,"8,38,673.42"
600,KTKBANK,THE KARNATAKA BANK LIMITED,"8,34,689.15"
601,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED,"8,32,636.52"
602,TCI,TRANSPORT CORPORATION OF INDIA LIMITED,"8,32,356.84"
603,TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED,"8,31,833.76"
604,GANESHHOUC,GANESH HOUSING CORPORATION LIMITED,"8,31,731.98"
605,ANURAS,ANUPAM RASAYAN INDIA LIMITED,"8,25,948.34"
606,GMRP&UI,GMR POWER AND URBAN INFRA LIMITED,"8,21,507.34"
607,SUNTECK,SUNTECK REALTY LIMITED,"8,18,185.47"
608,EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED,"8,15,702.59"
609,RTNPOWER,RATTANINDIA POWER LIMITED,"8,11,708.55"
610,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,"8,09,157.88"
611,RAJESHEXPO,RAJESH EXPORTS LIMITED,"8,09,093.60"
612,GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,"8,08,010.98"
613,EPIGRAL,EPIGRAL LIMITED,"8,07,638.50"
614,JKPAPER,JK PAPER LIMITED,"8,06,776.65"
615,SHOPERSTOP,SHOPPERS STOP LIMITED,"8,06,259.62"
616,INFIBEAM,INFIBEAM AVENUES LIMITED,"8,03,333.32"
617,EPL,EPL LIMITED,"8,02,350.01"
618,MOIL,MOIL LIMITED,"8,00,258.08"
619,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,"8,00,040.55"
620,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,"7,98,733.18"
621,SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED,"7,97,767.44"
622,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED,"7,91,746.44"
623,EMIL,ELECTRONICS MART INDIA LIMITED,"7,85,074.96"
624,DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED,"7,82,931.78"
625,TV18BRDCST,TV18 BROADCAST LIMITED   ,"7,82,779.17"
626,UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED,"7,72,492.98"
627,SHILPAMED,SHILPA MEDICARE LIMITED,"7,67,002.81"
628,INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED,"7,65,251.52"
629,PARADEEP,PARADEEP PHOSPHATES LIMITED,"7,65,201.20"
630,ETHOSLTD,ETHOS LIMITED,"7,57,504.08"
631,ICIL,INDO COUNT INDUSTRIES LIMITED,"7,53,263.53"
632,VMART,V-MART RETAIL LIMITED,"7,49,741.84"
633,LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED,"7,49,546.32"
634,WELENT,WELSPUN ENTERPRISES LIMITED,"7,48,513.87"
635,HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,"7,45,837.39"
636,DBL,DILIP BUILDCON LIMITED,"7,45,116.13"
637,MIDHANI,MISHRA DHATU NIGAM LIMITED,"7,43,933.83"
638,PDSL,PDS LIMITED,"7,42,818.77"
639,MANINFRA,MAN INFRACONSTRUCTION LIMITED,"7,42,308.15"
640,IFBIND,IFB INDUSTRIES LIMITED,"7,40,064.07"
641,TRANSRAILL,TRANSRAIL LIGHTING LIMITED,"7,38,094.87"
642,DHANUKA,DHANUKA AGRITECH LIMITED,"7,36,478.61"
643,TMB,TAMILNAD MERCANTILE BANK LIMITED,"7,32,521.89"
644,ORCHPHARMA,ORCHID PHARMA LIMITED,"7,30,606.69"
645,NAZARA,NAZARA TECHNOLOGIES LIMITED,"7,29,581.55"
646,RESPONIND,RESPONSIVE INDUSTRIES LIMITED,"7,29,467.43"
647,EMUDHRA,EMUDHRA LIMITED,"7,27,012.85"
648,ARVINDFASN,ARVIND FASHIONS LIMITED,"7,25,349.76"
649,DODLA,DODLA DAIRY LIMITED,"7,25,104.64"
650,SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED,"7,15,591.31"
651,BALUFORGE,BALU FORGE INDUSTRIES LIMITED,"7,09,478.41"
652,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,"7,08,289.13"
653,INDIGOPNTS,INDIGO PAINTS LIMITED,"7,07,004.80"
654,SUPRAJIT,SUPRAJIT ENGINEERING LIMITED,"7,06,696.90"
655,BALAMINES,BALAJI AMINES LIMITED,"7,06,693.33"
656,GREENLAM,GREENLAM INDUSTRIES LIMITED,"7,06,463.49"
657,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,"7,06,303.68"
658,JINDWORLD,JINDAL WORLDWIDE LIMITED,"7,00,497.33"
659,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,"7,00,204.79"
660,UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,"6,99,917.85"
661,GABRIEL,GABRIEL INDIA LIMITED,"6,96,576.78"
662,ASHOKA,ASHOKA BUILDCON LIMITED,"6,94,550.01"
663,VIPIND,VIP INDUSTRIES LIMITED,"6,92,410.55"
664,SURYAROSNI,SURYA ROSHNI LIMITED,"6,91,388.65"
665,BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,"6,88,734.42"
666,KRBL,KRBL LIMITED,"6,83,164.57"
667,GOKEX,GOKALDAS EXPORTS LIMITED,"6,80,236.10"
668,SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED,"6,77,774.45"
669,AMIORG,AMI ORGANICS LIMITED,"6,77,121.22"
670,NESCO,NESCO LIMITED,"6,74,556.54"
671,KESORAMIND,KESORAM INDUSTRIES LIMITED,"6,67,762.52"
672,HNDFDS,HINDUSTAN FOODS LIMITED,"6,65,036.03"
673,ORIENTCEM,ORIENT CEMENT LIMITED,"6,62,481.41"
674,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED,"6,55,871.69"
675,TARC,TARC LIMITED,"6,54,345.44"
676,BORORENEW,BOROSIL RENEWABLES LIMITED,"6,52,980.40"
677,TDPOWERSYS,TD POWER SYSTEMS LIMITED,"6,50,669.97"
678,EASEMYTRIP,EASY TRIP PLANNERS LIMITED,"6,47,447.39"
679,NIITMTS,NIIT LEARNING SYSTEMS LIMITED,"6,46,321.37"
680,BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED,"6,41,968.86"
681,RALLIS,RALLIS INDIA LIMITED,"6,40,959.43"
682,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,"6,38,663.93"
683,CEIGALL,CEIGALL INDIA LIMITED,"6,36,677.42"
684,JAICORPLTD,JAI CORP LIMITED,"6,36,320.29"
685,VSTIND,VST INDUSTRIES LIMITED,"6,29,053.08"
686,NFL,NATIONAL FERTILIZERS LIMITED,"6,24,180.42"
687,STLTECH,STERLITE TECHNOLOGIES LIMITED,"6,24,110.73"
688,ICRA,ICRA LIMITED,"6,21,557.28"
689,PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,"6,21,444.31"
690,ROLEXRINGS,ROLEX RINGS LIMITED,"6,20,957.45"
691,AVL,ADITYA VISION LIMITED,"6,19,215.27"
692,GOCOLORS,GO FASHION (INDIA) LIMITED,"6,18,920.24"
693,UEL,UJAAS ENERGY LIMITED     ,"6,18,245.20"
694,GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED,"6,14,403.84"
695,LUXIND,LUX INDUSTRIES LIMITED,"6,12,237.83"
696,PCJEWELLER,PC JEWELLER LIMITED,"6,11,415.08"
697,GMMPFAUDLR,GMM PFAUDLER LIMITED,"6,09,185.01"
698,GAEL,GUJARAT AMBUJA EXPORTS LIMITED,"6,08,224.96"
699,SHAREINDIA,SHARE INDIA SECURITIES LIMITED,"6,07,510.34"
700,IXIGO,LE TRAVENUES TECHNOLOGY LIMITED,"6,07,248.45"
701,AGI,AGI GREENPAC LIMITED,"6,07,080.43"
702,LLOYDSENT,LLOYDS ENTERPRISES LIMITED,"6,01,922.92"
703,PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED,"6,01,739.20"
704,PRICOLLTD,PRICOL LIMITED,"5,99,349.85"
705,GHCL,GHCL LIMITED,"5,96,708.11"
706,ALLCARGO,ALLCARGO LOGISTICS LIMITED,"5,95,837.39"
707,JKIL,J.KUMAR INFRAPROJECTS LIMITED,"5,95,392.05"
708,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,"5,95,044.61"
709,TI,TILAKNAGAR INDUSTRIES LIMITED,"5,92,286.73"
710,HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED,"5,91,558.68"
711,DBCORP,D.B.CORP LIMITED,"5,90,489.36"
712,SIS,SIS LIMITED,"5,85,477.12"
713,GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED,"5,82,695.61"
714,RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED,"5,81,192.43"
715,PTC,PTC INDIA LIMITED,"5,79,044.66"
716,ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED,"5,76,818.31"
717,SHARDACROP,SHARDA CROPCHEM LIMITED,"5,76,159.18"
718,INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,"5,73,209.37"
719,AARTIPHARM,AARTI PHARMALABS LIMITED,"5,69,859.93"
720,RAIN,RAIN INDUSTRIES LIMITED,"5,62,985.27"
